,Date,Tweets
0,2019-10-20,"@JioCare Thanks for your response, but i would request you to make available to this service at this location as soon as possible. #Jio #Jiocare"
1,2019-10-20,RT @namitha29: I want strict action against ward 66 Subramanya nagar #BBMP engineer Mr Mukund who said he will send a team to stop illegal…
2,2019-10-20,@reliancejio Really you have made your customer down by charging for calls. We trusted you for your promises. If other operator charge you should have paid as you promise free calls. Jio customer are fools right. Time to switch @airtelindia or @VodafoneIN  #jiousers #Jio
3,2019-10-20,"@reliancejio @JioCare @jio Network is very Poor... no Connectivity in mid City of ajmer....don't clem 4G network Your Network is Running like 2G and Blow. Call drop, slow internet, no network problems.. Don't misguide your Innocents customers. #jiousers #jiodigitallife #Jio"
4,2019-10-20,"Jio Network is very Poor... no Connectivity in mid City of ajmer....don't clem 4G network Your Network is Running like 2G and Blow. Call drop, slow internet, no network problems.. Don't misguide your Innocents customers. #jiousers #jiodigitallife #Jio"
5,2019-10-20,@JioCare And here is the most blazing fast speed by #jio 990 Kbps 👏👏👏👏 https://t.co/WXFhG6bPHA
6,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
7,2019-10-20,"#Jio #Ban6paisa #jiousers If you have commitment that connection is free keep that promise. If you try to play with us, we will show you what we can do. Any way you aren’t our primary connection for us to use only internet for most of the people. Do you know that!!!
#SwitchAirtel"
8,2019-10-20,"RT @ABPNews: #Jio Slams Trai's IUC Review As Anti-Poor; Says Move Sabotages PM's #DigitalIndia Vision

https://t.co/JSq48lpav2"
9,2019-10-20,RT @namitha29: I want strict action against ward 66 Subramanya nagar #BBMP engineer Mr Mukund who said he will send a team to stop illegal…
10,2019-10-20,"Here is my latest article:

Leveraging the power of #5G, #AI and #IoT, hundreds of demos proved India’s #telecom will recover strongly

#huawei #jio #airtel 

 https://t.co/NSsARwKiQV"
11,2019-10-20,@JioCare Yes absolutely correct.#Jio responds only once for image building and marketing on social media.Talking from my own experience since 08/10/19...@reliancejio @reliancegroup @AmbaniTina @AmarAmbani #jiodigitallife #jioforswachhata #JioMAMIFILMFESTIVAL2019 #JioMAMIFilmFestival https://t.co/nt8GYMtZZ3
12,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
13,2019-10-20,"@ABPNews IUC charge shud be remove from All the operator, There shud be No Such things Like IUC charge.
#DigitalIndia 
#Airtel 
#Jio
#trai 
Please Remove the IUC Charge As Soon As Possible 
95% ppl of india demanding to remove iuc charge ppl paying high amount of money instead of low amt"
14,2019-10-20,@rohitnig @RealHistoryPic This is total direct and indirect privatization of public resources.. National banks have give.  lakh of crores of to private telecom. #bsnl #jio #4G #5G. @TheDeshBhakt @the_hindu @thewire_in
15,2019-10-20,Must watch this video #jio #airtel #idea #Vodafone #bsnl.... Bsnl need money to bounce back.. This guy is the bsnl president clearly says how govt ignores the bsnl as have they providing loans to private https://t.co/r2p7dmR5Rd
16,2019-10-20,"RT @ABPNews: #Jio Slams Trai's IUC Review As Anti-Poor; Says Move Sabotages PM's #DigitalIndia Vision

https://t.co/JSq48lpav2"
17,2019-10-20,"@airtelindia I PORT to airtel in 10 Oct my SIM not support VOLTE and not received any incoming call .
two times informed to customer care advisor and nearest airtel office . Not provide any proper solution. #airindia #jio #Boycuttairtel Data speed like #2G"
18,2019-10-20,"RT @premprakashgup: #Jio Why you have charged 6p/ min on outgoing calls in other operators.
You say it is due to IUC charge you have to giv…"
19,2019-10-20,Keep trying my patience @JioCare and I will be even more determined to terminate your services sooner than later. More than 48 hrs and still Internet is down. Your service is worse even than local Broadband Internet Service providers. Shame Jio Shame! @reliancejio #Jio https://t.co/BZG4q4M0C2
20,2019-10-20,"RT @ABPNews: #Jio Slams Trai's IUC Review As Anti-Poor; Says Move Sabotages PM's #DigitalIndia Vision

https://t.co/JSq48lpav2"
21,2019-10-20,"RT @ABPNews: #Jio Slams Trai's IUC Review As Anti-Poor; Says Move Sabotages PM's #DigitalIndia Vision

https://t.co/JSq48lpav2"
22,2019-10-20,"#Jio Slams Trai's IUC Review As Anti-Poor; Says Move Sabotages PM's #DigitalIndia Vision

https://t.co/JSq48lpav2"
23,2019-10-20,"New consultation paper on #IUC review bad law: #Jio to #Trai @reliancejio 
https://t.co/7N4o8RyGus https://t.co/nwLm1FIgM9"
24,2019-10-20,"New consultation paper on #IUC review bad law: #Jio to #Trai @reliancejio 
https://t.co/vOSk1ZWjRn https://t.co/c1gnIlOG7l"
25,2019-10-20,"@JioCare @JioCare 
You have huge customers using your network your service getting poor day by day network issue arising, is this 4G speed? and calling timing ending in 44 mins. Kindly provide better Service. Hope u will solve this problem soon
#jio 🤦‍♂🙆‍♂😠very bad network https://t.co/DpBoBw39zp"
26,2019-10-20,"Why should privatize telecom service when we have huge source of Government own department and why we cannot utilise and get profit from that?? Why why why?????
#BSNL4G #BSNL #Jio #Airtel #Vodafone https://t.co/VGVK9srREl"
27,2019-10-20,"#jio has alleged that review of call connect charges by Trai ""sabotages"" the Prime Minister's vision for Digital India

https://t.co/8Bq4EwtmI3"
28,2019-10-20,Dear @reliancejio in last line you mentioned plz convert all non jio family/ friends toh unko convert karnay ka 1 bag rice or 2 samosay mileyngay kya ?? 🤣🤣🤣 Anyways thanks for 2GB extra data and other vouchers ...love you .. #jio https://t.co/uTlw2TgyAR
29,2019-10-20,"RT @sunny0_: Can Mukesh Ambani pay Rs 2.88 lakh crore RIL debt or In way of Anil Ambnai ? 

#Jio to other is not free now. 

In Q2FY20, rev…"
30,2019-10-20,@Jikkuvarghese @just1doctorwala But I wish it was a competitor to #Jio.
31,2019-10-20,Trai’s rethink to scrap IUC will sabotage PM’s Digital India mission: Reliance #Jio https://t.co/XYOhBDFuxK
32,2019-10-20,Jio got no chill.. #jio #jiousers https://t.co/OJmPgiqDdu
33,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
34,2019-10-20,"My Airtel network is down since last one month. Dear #Airtel, i had ported my number from Vodafone. Give me a reason why shouldn't I port my number to any other network now? 
Anyone else in Delhi facing this problem?

#Airtel
#AirtelComplain
#Jio"
35,2019-10-20,"@VodafoneIN No use of this offer, first work on network , daily call drop , no internet and many more issues, We Will Choose #jio than you and ready to pay calling charges than this daily headache"
36,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
37,2019-10-20,#Jio slams Trai's IUC review as anti-poor; says move sabotages PM’s Digital India vision https://t.co/wqcPr4w8MU
38,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
39,2019-10-20,RT @namitha29: I want strict action against ward 66 Subramanya nagar #BBMP engineer Mr Mukund who said he will send a team to stop illegal…
40,2019-10-20,"Your Supervisor Name is DEEP RAJPUT
Time: 12:20 Pm
I want proper solution in your side 
@JioCare #jio #CustomerService #MukeshAmbani #jiostore"
41,2019-10-20,RT @sanjear7: I am not able to call any #BSNL no from #Jio I checked with many and same is is the case with others. @reliancejio is making…
